filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T00:27:36.328943,1656.1509433962265
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T13:40:14.970453,49214.79245283019
xa.s12.00.mhz.1969-12-16HR00_evid00006,1969-12-16T20:58:38.668566,75518.49056603774
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T08:38:14.130849,31093.735849056604
xa.s12.00.mhz.1970-11-03HR00_evid00051,1970-11-03T17:17:26.583679,62246.188679245286
xa.s12.00.mhz.1973-10-10HR00_evid00463,1973-10-10T03:06:35.119038,11194.566037735849
xa.s12.00.mhz.1974-06-30HR00_evid00543,1974-06-30T12:44:23.356340,45863.09433962264
xa.s12.00.mhz.1974-06-30HR00_evid00543,1974-06-30T12:46:59.431811,46019.16981132075
xa.s12.00.mhz.1974-06-30HR00_evid00543,1974-06-30T17:45:09.243132,63908.981132075474
xa.s12.00.mhz.1975-04-21HR00_evid00638,1975-04-21T00:53:34.107792,3213.8867924528304
xa.s12.00.mhz.1975-04-21HR00_evid00638,1975-04-21T02:05:06.032321,7505.811320754717
xa.s12.00.mhz.1975-04-21HR00_evid00638,1975-04-21T04:28:48.975717,16128.754716981131
xa.s12.00.mhz.1975-04-21HR00_evid00638,1975-04-21T04:34:22.258736,16462.037735849055
xa.s12.00.mhz.1975-04-21HR00_evid00638,1975-04-21T15:43:03.164396,56582.943396226416
xa.s12.00.mhz.1973-03-12HR00_evid00384,1973-03-12T20:44:57.771604,74697.05660377358
xa.s12.00.mhz.1974-03-30HR00_evid00512,1974-03-30T14:05:18.671736,50718.03773584906
xa.s12.00.mhz.1974-03-30HR00_evid00512,1974-03-30T14:18:04.860415,51484.22641509434
xa.s12.00.mhz.1974-03-30HR00_evid00512,1974-03-30T19:47:52.784943,71272.15094339622
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T14:20:16.525057,51615.84905660377
xa.s12.00.mhz.1972-11-19HR00_evid00335,1972-11-19T18:25:54.034491,66353.35849056604
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T05:19:49.430019,19189.283018867925
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T05:39:28.750774,20368.603773584906
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T06:51:13.052660,24672.905660377357
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T07:48:53.731906,28133.584905660377
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T12:07:28.147000,43648.0
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T13:10:34.713038,47434.56603773585
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T15:43:16.524358,56596.377358490565
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T16:28:35.316811,59315.16981132075
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T16:40:43.618698,60043.47169811321
xa.s12.00.mhz.1970-05-23HR00_evid00027,1970-05-23T21:16:59.920585,76619.77358490566
xa.s12.00.mhz.1974-03-14HR00_evid00506,1974-03-14T04:41:46.947038,16906.56603773585
xa.s12.00.mhz.1974-03-14HR00_evid00506,1974-03-14T06:39:25.362132,23964.98113207547
xa.s12.00.mhz.1974-03-14HR00_evid00506,1974-03-14T07:36:07.173453,27366.79245283019
xa.s12.00.mhz.1974-03-14HR00_evid00506,1974-03-14T13:07:40.909302,47260.52830188679
xa.s12.00.mhz.1974-03-14HR00_evid00506,1974-03-14T22:36:42.645151,81402.2641509434
xa.s12.00.mhz.1977-07-19HR00_evid00991,1977-07-19T20:44:05.177302,74644.52830188679
