filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s15.00.mhz.1973-10-27HR00_evid00134,1973-10-27T11:15:29.157774,40528.6037735849
xa.s15.00.mhz.1974-10-19HR00_evid00157,1974-10-19T19:39:14.558208,70754.11320754717
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T09:44:01.502229,31458.56603773585
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T10:13:57.879587,33254.943396226416
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T10:47:15.313549,35252.377358490565
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T12:06:07.087134,39984.15094339623
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T12:25:32.672040,41149.735849056604
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T15:30:44.672040,52261.735849056604
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T15:44:52.521097,53109.58490566038
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T15:56:32.294682,53809.35849056604
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T16:16:49.502229,55026.56603773585
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T16:58:43.766380,57540.83018867925
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T17:08:27.011663,58124.07547169811
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T17:57:05.955059,61043.018867924526
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T18:38:18.256946,63515.32075471698
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T19:29:12.898455,66569.96226415095
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T21:38:36.068266,74333.1320754717
xa.s15.00.mhz.1973-04-04HR00_evid00098,1973-04-04T22:00:19.011663,75636.07547169812
xa.s15.00.mhz.1975-04-12HR00_evid00190,1975-04-12T03:59:59.159509,14398.641509433963
xa.s15.00.mhz.1975-04-12HR00_evid00190,1975-04-12T04:54:03.385925,17642.867924528302
xa.s15.00.mhz.1975-04-12HR00_evid00190,1975-04-12T09:38:31.914226,34711.3962264151
xa.s15.00.mhz.1975-04-12HR00_evid00190,1975-04-12T18:15:47.687811,65747.16981132075
xa.s15.00.mhz.1973-08-10HR00_evid00126,1973-08-10T12:45:10.996566,45910.49056603773
xa.s15.00.mhz.1973-08-10HR00_evid00126,1973-08-10T14:08:32.506000,50912.0
xa.s15.00.mhz.1973-08-10HR00_evid00126,1973-08-10T15:59:32.883358,57572.377358490565
xa.s15.00.mhz.1973-08-10HR00_evid00126,1973-08-10T18:00:41.562604,64841.056603773584
xa.s15.00.mhz.1974-11-17HR00_evid00162,1974-11-17T19:56:42.230208,71802.11320754717
xa.s15.00.mhz.1974-12-15HR00_evid00169,1974-12-15T04:34:49.365547,16489.20754716981
xa.s15.00.mhz.1974-12-15HR00_evid00169,1974-12-15T09:13:10.346679,33190.188679245286
xa.s15.00.mhz.1974-12-15HR00_evid00170,1974-12-15T04:34:49.365547,16489.20754716981
xa.s15.00.mhz.1974-12-15HR00_evid00170,1974-12-15T09:13:10.346679,33190.188679245286
xa.s15.00.mhz.1975-06-22HR00_evid00194,1975-06-22T19:55:33.208132,71732.98113207547
xa.s15.00.mhz.1974-11-21HR00_evid00166,1974-11-21T10:58:54.808679,39534.188679245286
xa.s15.00.mhz.1974-11-21HR00_evid00166,1974-11-21T13:20:57.072830,48056.45283018868
