filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
XB.ELYSE.02.BHV.2019-05-23HR02_evid0041,2019-05-23T02:23:26.732000,1406.7
XB.ELYSE.02.BHV.2019-05-23HR02_evid0041,2019-05-23T02:38:09.282000,2289.25
XB.ELYSE.02.BHV.2022-04-09HR22_evid0002,2022-04-09T22:37:50.035000,2270.0
XB.ELYSE.02.BHV.2021-12-24HR22_evid0007,2021-12-24T22:37:43.541000,2263.5
XB.ELYSE.02.BHV.2021-12-24HR22_evid0007,2021-12-24T22:45:30.441000,2730.4
XB.ELYSE.02.BHV.2022-05-04HR23_evid0001,2022-05-04T23:18:32.148000,1112.1
XB.ELYSE.02.BHV.2022-05-04HR23_evid0001,2022-05-04T23:27:47.848000,1667.8
XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,2019-07-26T12:12:30.360000,750.35
XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,2019-07-26T12:26:12.410000,1572.4
XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,2019-07-26T12:42:15.110000,2535.1
XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,2019-07-26T12:54:09.060000,3249.05
XB.ELYSE.02.BHV.2021-05-02HR01_evid0017,2021-05-02T01:28:15.025000,1695.0
XB.ELYSE.02.BHV.2021-05-02HR01_evid0017,2021-05-02T01:47:18.175000,2838.15
XB.ELYSE.02.BHV.2019-09-21HR03_evid0032,2019-09-21T03:30:37.537000,1837.5
XB.ELYSE.02.BHV.2019-09-21HR03_evid0032,2019-09-21T03:35:10.387000,2110.35
XB.ELYSE.02.BHV.2021-10-11HR23_evid0011,2021-10-11T23:29:07.689000,1747.65
XB.ELYSE.02.BHV.2021-10-11HR23_evid0011,2021-10-11T23:46:34.289000,2794.25
XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,2019-07-26T12:12:30.360000,750.35
XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,2019-07-26T12:26:12.410000,1572.4
XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,2019-07-26T12:42:15.110000,2535.1
XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,2019-07-26T12:54:09.060000,3249.05
